Data,Balança comercial - (FOB) - saldo (Antiga metod. - BPM5) - US$ - BPN4_SBC4,
1959 T1,10,
1959 T2,-61,
1959 T3,99.6,
1959 T4,23.5,
1960 T1,-0.9,
1960 T2,11.4,
1960 T3,-9.8,
1960 T4,-24.7,
1961 T1,-5.4,
1961 T2,-4.8,
1961 T3,62.7,
1961 T4,58.7,
1962 T1,-46.8,
1962 T2,15.8,
1962 T3,-21.8,
1962 T4,-36.9,
1963 T1,-10.3,
1963 T2,-10.6,
1963 T3,55.7,
1963 T4,77.7,
1964 T1,104.8,
1964 T2,27.7,
1964 T3,75.3,
1964 T4,135.6,
1965 T1,84.8,
1965 T2,122.4,
1965 T3,256.8,
1965 T4,190.9,
1966 T1,132.5,
1966 T2,103,
1966 T3,174.8,
1966 T4,27.7,
1967 T1,14.9,
1967 T2,41.5,
1967 T3,154.1,
1967 T4,2.4,
1968 T1,6.4,
1968 T2,-16.1,
1968 T3,43.1,
1968 T4,-7.2,
1969 T1,-3.5,
1969 T2,44.8,
1969 T3,157.7,
1969 T4,118.9,
1970 T1,38.7,
1970 T2,190.7,
1970 T3,140,
1970 T4,-137.3,
1971 T1,-231.4,
1971 T2,-73.9,
1971 T3,-16.2,
1971 T4,-22.1,
1972 T1,-151.7,
1972 T2,-9.5,
1972 T3,72,
1972 T4,-152,
1973 T1,-30.3,
1973 T2,175,
1973 T3,348.5,
1973 T4,-486.2,
1974 T1,-1094.6,
1974 T2,-1471.8,
1974 T3,-1214.3,
1974 T4,-909.6,
1975 T1,-951.1,
1975 T2,-895.8,
1975 T3,-732.1,
1975 T4,-961.4,
1976 T1,-938.7,
1976 T2,-495.3,
1976 T3,-616.1,
1976 T4,-204.6,
1977 T1,-159.4,
1977 T2,398,
1977 T3,-19.4,
1977 T4,-122.4,
1978 T1,-360.8,
1978 T2,-68,
1978 T3,-509,
1978 T4,-86.4,
1979 T1,-433.82,
1979 T2,-299.429000000001,
1979 T3,-883.627,
1979 T4,-1222.608,
1980 T1,-1368.791,
1980 T2,-670.602000000001,
1980 T3,-836.186000000001,
1980 T4,52.8109999999997,
1981 T1,-419.685,
1981 T2,108.904,
1981 T3,532.012000000001,
1981 T4,981.224,
1982 T1,48.847999999999,
1982 T2,99.3589999999995,
1982 T3,206.425,
1982 T4,425.441,
1983 T1,721.548,
1983 T2,2069.129,
1983 T3,2062.186,
1983 T4,1617.526,
1984 T1,2381.165,
1984 T2,3596.103,
1984 T3,3628.092,
1984 T4,3484.155,
1985 T1,1902.753,
1985 T2,3540.921,
1985 T3,3626.649,
1985 T4,3415.197,
1986 T1,2460.449,
1986 T2,3699.312,
1986 T3,2484.049,
1986 T4,-339.511,
1987 T1,586.67,
1987 T2,2892.061,
1987 T3,4382.883,
1987 T4,3311.484,
1988 T1,3173.480916,
1988 T2,5471.503506,
1988 T3,5969.58671,
1988 T4,4569.540175,
1989 T1,4180.17062,
1989 T2,4803.632348,
1989 T3,4136.116761,
1989 T4,2999.267243,
1990 T1,1910.184334,
1990 T2,4034.20058,
1990 T3,3261.402115,
1990 T4,1546.606972,
1991 T1,3481.251235,
1991 T2,3711.905565,
1991 T3,1821.503565,
1991 T4,1565.308286,
1992 T1,3213.460499,
1992 T2,3826.068259,
1992 T3,4259.733074,
1992 T4,3939.632961,
1993 T1,3980.890195,
1993 T2,3143.575747,
1993 T3,3042.079754,
1993 T4,3132.222424,
1994 T1,2828.154394,
1994 T2,3949.265687,
1994 T3,4251.023355,
1994 T4,-561.971356,
1995 T1,-2287.172,
1995 T2,-1938.609,
1995 T3,577.363000000001,
1995 T4,182.802999999999,
1996 T1,-465.238,
1996 T2,126.137999999999,
1996 T3,-1261.765,
1996 T4,-3998.176,
1997 T1,-831.972,
1997 T2,-1331.959,
1997 T3,-1685.897,
1997 T4,-2903.059,
1998 T1,-1837.792,
1998 T2,10.7329999999993,
1998 T3,-1775.486,
1998 T4,-2971.957,
1999 T1,-815.500999999999,
1999 T2,199.682,
1999 T3,-150.121,
1999 T4,-432.928,
2000 T1,-18.627,
2000 T2,804.391670999999,
2000 T3,-109.575,
2000 T4,-1373.937134,
2001 T1,-678.454,
2001 T2,611.492999999999,
2001 T3,1331.564,
2001 T4,1385.864,
2002 T1,1027.422,
2002 T2,1558.49,
2002 T3,5266.261,
2002 T4,5269.124,
2003 T1,3804.640087,
2003 T2,6593.291,
2003 T3,7392.305,
2003 T4,7003.688,
2004 T1,6124.754312,
2004 T2,8862.268975,
2004 T3,10065.66923,
2004 T4,8587.848199,
2005 T1,8300.043638,
2005 T2,11349.003391,
2005 T3,12974.280324,
2005 T4,12079.550902,
2006 T1,9328.383231,
2006 T2,10204.751459,
2006 T3,14681.820969,
2006 T4,12241.673067,
2007 T1,8727.565534,
2007 T2,11856.634543,
2007 T3,10359.821169,
2007 T4,9087.605334,
2008 T1,2760.796966,
2008 T2,8541.289074,
2008 T3,8355.625629,
2008 T4,5178.040738,
2009 T1,2988.1699,
2009 T2,10920.3985,
2009 T3,7274.2557,
2009 T4,4106.9816,
2010 T1,880.668518999999,
2010 T2,6999.137819,
2010 T3,4805.183243,
2010 T4,7461.868316,
2011 T1,3142.131411,
2011 T2,9810.435682,
2011 T3,10108.152329,
2011 T4,6732.099545,
2012 T1,2417.845588,
2012 T2,4639.393229,
2012 T3,8637.727939,
2012 T4,3699.57014699999,
2013 T1,-5154.644863,
2013 T2,2079.98639,
2013 T3,1314.51671899999,
2013 T4,4159.62639199999,
2014 T1,-6074.636629,
2014 T2,3582.256154,
2014 T3,1796.872551,
2014 T4,-3234.626755,
